session_id,round_idx,prefix_len,input_len,output_len,tool_wait_after_ms
claude:0ad27a67-5489-0c83-6fd7-ae95e098b220,4,17638,3013,2,0
claude:1239c2da-a410-5d33-aa09-aa78a30c25b8,0,9131,4545,2,0
claude:1239c2da-a410-5d33-aa09-aa78a30c25b8,1,13673,5600,1,0
claude:1239c2da-a410-5d33-aa09-aa78a30c25b8,2,19266,9904,4,0
claude:1239c2da-a410-5d33-aa09-aa78a30c25b8,3,29163,1940,1,0
claude:1239c2da-a410-5d33-aa09-aa78a30c25b8,4,31096,894,1,0
claude:12d1f040-d9d4-556a-0df5-aa4e08f0aac2,0,0,28766,196,77
claude:12d1f040-d9d4-556a-0df5-aa4e08f0aac2,1,16771,12502,212,11
claude:12d1f040-d9d4-556a-0df5-aa4e08f0aac2,2,29271,4109,619,42
claude:12d1f040-d9d4-556a-0df5-aa4e08f0aac2,3,33378,337,364,51
claude:12d1f040-d9d4-556a-0df5-aa4e08f0aac2,4,33713,451,194,0
claude:1421ac71-5a5a-ffdc-267a-17e31d0c619d,0,7802,15779,524,0
claude:1421ac71-5a5a-ffdc-267a-17e31d0c619d,1,7895,19490,3031,0
claude:1421ac71-5a5a-ffdc-267a-17e31d0c619d,2,26342,5799,3612,0
claude:1421ac71-5a5a-ffdc-267a-17e31d0c619d,3,32139,27725,1058,183
claude:1421ac71-5a5a-ffdc-267a-17e31d0c619d,4,39471,23788,5669,0
claude:1622a000-3088-40b1-c9c2-e632ac23f5f7,0,13060,2507,109,37
claude:1622a000-3088-40b1-c9c2-e632ac23f5f7,1,15564,920,176,0
claude:1622a000-3088-40b1-c9c2-e632ac23f5f7,2,16483,4986,214,0
claude:1622a000-3088-40b1-c9c2-e632ac23f5f7,3,21468,1889,36,0
claude:1622a000-3088-40b1-c9c2-e632ac23f5f7,4,23356,1306,1231,0
claude:1798dee5-2908-3f61-5f61-5a9f5a0b3600,0,0,19627,120,4
claude:1798dee5-2908-3f61-5f61-5a9f5a0b3600,1,0,20723,283,96
claude:1798dee5-2908-3f61-5f61-5a9f5a0b3600,2,20471,909,281,5136
claude:1798dee5-2908-3f61-5f61-5a9f5a0b3600,3,21378,785,2,9206
claude:1798dee5-2908-3f61-5f61-5a9f5a0b3600,4,22161,2118,951,0
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,0,12978,2722,308,3318
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,1,15697,2548,292,2988
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,2,17178,1843,204,2650
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,3,18788,642,136,24166
claude:19e0632d-3b38-66e1-edee-190b27cdec2b,4,19429,2252,797,0
claude:1a34e8ad-8e6d-d726-e07b-1366935a91a8,0,0,19354,96,4
claude:1a34e8ad-8e6d-d726-e07b-1366935a91a8,1,0,20128,164,9923
claude:1a34e8ad-8e6d-d726-e07b-1366935a91a8,2,19876,3141,332,8039
claude:1a34e8ad-8e6d-d726-e07b-1366935a91a8,3,23015,3172,173,8439
claude:1a34e8ad-8e6d-d726-e07b-1366935a91a8,4,26185,1331,1510,0
claude:1a81eeef-4cc0-1bd2-c32e-1637d2bebee7,0,0,19384,5,3
claude:1a81eeef-4cc0-1bd2-c32e-1637d2bebee7,1,8086,12072,108,9594
claude:1a81eeef-4cc0-1bd2-c32e-1637d2bebee7,2,19906,1766,151,10382
claude:1a81eeef-4cc0-1bd2-c32e-1637d2bebee7,3,21670,1443,193,9737
claude:1a81eeef-4cc0-1bd2-c32e-1637d2bebee7,4,23111,1728,2153,0
claude:1b502dba-0b66-4a90-d08c-3070e8e988b0,0,7802,15571,455,5
claude:1b502dba-0b66-4a90-d08c-3070e8e988b0,1,7895,17772,338,5112
claude:1b502dba-0b66-4a90-d08c-3070e8e988b0,2,24624,6561,568,6436
claude:1b502dba-0b66-4a90-d08c-3070e8e988b0,3,27255,8187,519,5644
claude:1b502dba-0b66-4a90-d08c-3070e8e988b0,4,32918,5389,5836,0
claude:1df5e048-52d2-a5e3-5e43-7fd9016b12d7,0,0,14137,170,72
claude:1df5e048-52d2-a5e3-5e43-7fd9016b12d7,1,14134,2861,1,28
claude:1df5e048-52d2-a5e3-5e43-7fd9016b12d7,2,16716,24036,219,32
claude:1df5e048-52d2-a5e3-5e43-7fd9016b12d7,3,40751,10313,7,30
claude:1df5e048-52d2-a5e3-5e43-7fd9016b12d7,4,51063,16006,280,0
claude:23456ba9-b2f4-685c-7d5d-c508e7f03b5e,0,13060,2966,204,0
claude:23456ba9-b2f4-685c-7d5d-c508e7f03b5e,1,16023,960,178,0
claude:23456ba9-b2f4-685c-7d5d-c508e7f03b5e,2,16982,2230,169,0
claude:23456ba9-b2f4-685c-7d5d-c508e7f03b5e,3,19211,3832,90,70471
claude:23456ba9-b2f4-685c-7d5d-c508e7f03b5e,4,23042,181,685,0
claude:265e7118-4e7d-7ff8-ede6-1b340456adcd,0,0,19474,98,3
claude:265e7118-4e7d-7ff8-ede6-1b340456adcd,1,0,20238,279,4961
claude:265e7118-4e7d-7ff8-ede6-1b340456adcd,2,19986,1062,261,4247
claude:265e7118-4e7d-7ff8-ede6-1b340456adcd,3,21046,715,249,3801
claude:265e7118-4e7d-7ff8-ede6-1b340456adcd,4,21759,504,1777,0
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,0,15717,3,274,17786
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,1,12978,5369,262,5785
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,2,16325,3066,116,28113
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,3,19390,1625,202,3771
claude:2ba9bab3-5800-4310-2c1d-49815a74d72e,4,21014,466,814,0
claude:2c069ecf-3c6c-141b-8a8f-7225acd67c04,0,14039,3667,249,7033
claude:2c069ecf-3c6c-141b-8a8f-7225acd67c04,1,16086,3919,379,66948
claude:2c069ecf-3c6c-141b-8a8f-7225acd67c04,2,20003,3963,1860,2
claude:2c069ecf-3c6c-141b-8a8f-7225acd67c04,3,23964,1906,948,1
claude:2c069ecf-3c6c-141b-8a8f-7225acd67c04,4,25868,997,936,0
claude:2d4c4e66-478a-e324-7f8e-afb089c2efad,0,14977,9308,194,72
claude:2d4c4e66-478a-e324-7f8e-afb089c2efad,1,24283,1218,242,56
claude:2d4c4e66-478a-e324-7f8e-afb089c2efad,2,25499,1771,294,46
claude:2d4c4e66-478a-e324-7f8e-afb089c2efad,3,27268,1788,302,11
claude:2d4c4e66-478a-e324-7f8e-afb089c2efad,4,29054,2975,758,0
claude:2db9f08a-7894-d09b-eb77-7b84331b1a77,0,0,8697,287,0
claude:2db9f08a-7894-d09b-eb77-7b84331b1a77,1,8695,4921,2,0
claude:2db9f08a-7894-d09b-eb77-7b84331b1a77,2,13614,6968,285,331
claude:2db9f08a-7894-d09b-eb77-7b84331b1a77,3,20580,329,84,27
claude:2db9f08a-7894-d09b-eb77-7b84331b1a77,4,20907,6631,3789,0
claude:2f363484-7f04-a459-ea44-a933ed0d5124,0,0,49022,220,800
claude:2f363484-7f04-a459-ea44-a933ed0d5124,1,49019,8193,169,76975
claude:2f363484-7f04-a459-ea44-a933ed0d5124,2,57120,278,377,0
claude:2f363484-7f04-a459-ea44-a933ed0d5124,3,57395,780,132,20797
claude:2f363484-7f04-a459-ea44-a933ed0d5124,4,58172,153,45,0
claude:30a9ff45-bea5-c8eb-41eb-303d459fd246,0,0,9143,131,10
claude:30a9ff45-bea5-c8eb-41eb-303d459fd246,1,9140,802,124,11077
claude:30a9ff45-bea5-c8eb-41eb-303d459fd246,2,9937,777,291,0
claude:30a9ff45-bea5-c8eb-41eb-303d459fd246,3,10710,12769,156,275
claude:30a9ff45-bea5-c8eb-41eb-303d459fd246,4,12133,30386,1457,0
claude:3938b2a7-d5d3-d1f7-e70f-a0a4fe9a5872,0,0,19631,162,3
claude:3938b2a7-d5d3-d1f7-e70f-a0a4fe9a5872,1,8050,12719,60,68
claude:3938b2a7-d5d3-d1f7-e70f-a0a4fe9a5872,2,20517,689,73,3737
claude:3938b2a7-d5d3-d1f7-e70f-a0a4fe9a5872,3,21204,524,478,8403
claude:3938b2a7-d5d3-d1f7-e70f-a0a4fe9a5872,4,21726,1712,955,0
claude:3ad8e008-6b66-69ef-8147-e5a9182f2539,0,9645,1466,354,0
claude:3ad8e008-6b66-69ef-8147-e5a9182f2539,1,11108,621,198,0
claude:3ad8e008-6b66-69ef-8147-e5a9182f2539,2,11722,1371,322,0
claude:3ad8e008-6b66-69ef-8147-e5a9182f2539,3,13086,720,379,0
claude:3ad8e008-6b66-69ef-8147-e5a9182f2539,4,13799,24332,2785,0
claude:3e64b719-3e06-b2e0-abee-1558a97b0894,0,30709,2369,670,0
claude:3e64b719-3e06-b2e0-abee-1558a97b0894,1,32325,3365,219,0
claude:3e64b719-3e06-b2e0-abee-1558a97b0894,2,35688,11652,185,25
claude:3e64b719-3e06-b2e0-abee-1558a97b0894,3,47338,1073,7483,84105
claude:3e64b719-3e06-b2e0-abee-1558a97b0894,4,48409,7591,3409,0
claude:430f2a06-4b8e-4cc3-4e5d-a3f29b6626c4,0,10456,6869,3,0
claude:430f2a06-4b8e-4cc3-4e5d-a3f29b6626c4,1,17322,27761,1,0
claude:430f2a06-4b8e-4cc3-4e5d-a3f29b6626c4,2,45076,39077,6,0
claude:430f2a06-4b8e-4cc3-4e5d-a3f29b6626c4,3,84146,492,3,15
claude:430f2a06-4b8e-4cc3-4e5d-a3f29b6626c4,4,84631,3190,1,0
claude:43b71f8b-6a59-ef2c-3ffa-e407779a5268,0,0,11638,5,51376
claude:43b71f8b-6a59-ef2c-3ffa-e407779a5268,1,11635,2199,1,26042
claude:43b71f8b-6a59-ef2c-3ffa-e407779a5268,2,13827,1864,4,1675
claude:43b71f8b-6a59-ef2c-3ffa-e407779a5268,3,15684,1394,1,1943
claude:43b71f8b-6a59-ef2c-3ffa-e407779a5268,4,17071,218,1,0
claude:44dc3027-184c-1e7a-15ca-625afe1bae46,0,14318,4568,545,1831
claude:44dc3027-184c-1e7a-15ca-625afe1bae46,1,16794,3087,368,4032
claude:44dc3027-184c-1e7a-15ca-625afe1bae46,2,19879,2722,612,2012
claude:44dc3027-184c-1e7a-15ca-625afe1bae46,3,22351,1329,379,2895
claude:44dc3027-184c-1e7a-15ca-625afe1bae46,4,23678,5256,1936,0
claude:4743d830-738d-5a99-fe11-aa87f0322fa9,0,14039,3700,1,1497
claude:4743d830-738d-5a99-fe11-aa87f0322fa9,1,16119,2713,246,7570
claude:4743d830-738d-5a99-fe11-aa87f0322fa9,2,18830,500,369,6519
claude:4743d830-738d-5a99-fe11-aa87f0322fa9,3,19328,1191,1,1468
claude:4743d830-738d-5a99-fe11-aa87f0322fa9,4,20517,2583,1143,0
claude:474fb5a1-3696-78ce-3bb1-30e12a7c6058,0,31869,2521,650,0
claude:474fb5a1-3696-78ce-3bb1-30e12a7c6058,1,34388,21886,3084,0
claude:474fb5a1-3696-78ce-3bb1-30e12a7c6058,2,56272,4311,169,14
claude:474fb5a1-3696-78ce-3bb1-30e12a7c6058,3,60581,1308,317,15
claude:474fb5a1-3696-78ce-3bb1-30e12a7c6058,4,61888,610,28,0
claude:4760bdfe-8ece-e305-f765-f9ca58dd2fe3,0,10198,4722,1,0
claude:4760bdfe-8ece-e305-f765-f9ca58dd2fe3,1,14917,41629,1,0
claude:4760bdfe-8ece-e305-f765-f9ca58dd2fe3,2,56539,16851,1,0
claude:4760bdfe-8ece-e305-f765-f9ca58dd2fe3,3,73383,2702,1,179
claude:4760bdfe-8ece-e305-f765-f9ca58dd2fe3,4,76078,207,1,0
claude:4d0c5afb-9388-7250-1284-796fa53c1d8e,0,7988,11658,1305,0
claude:4d0c5afb-9388-7250-1284-796fa53c1d8e,1,19644,20487,952,0
claude:4d0c5afb-9388-7250-1284-796fa53c1d8e,2,40129,25934,983,0
claude:4d0c5afb-9388-7250-1284-796fa53c1d8e,3,66062,7040,848,0
claude:4d0c5afb-9388-7250-1284-796fa53c1d8e,4,73100,3618,9829,0
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,0,12978,2733,340,15117
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,1,15708,2383,228,4370
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,2,16970,2179,265,3760
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,3,19148,894,210,9506
claude:50bc8e46-4d20-c0e4-266b-68b88411ea9b,4,19705,1353,1148,0
claude:51f0c025-cf1b-cebe-86e4-d2e8b1272a06,0,0,28344,943,23217
claude:51f0c025-cf1b-cebe-86e4-d2e8b1272a06,1,26890,3056,275,36
claude:51f0c025-cf1b-cebe-86e4-d2e8b1272a06,2,29944,2095,518,25
claude:51f0c025-cf1b-cebe-86e4-d2e8b1272a06,3,32037,2017,1352,24
claude:51f0c025-cf1b-cebe-86e4-d2e8b1272a06,4,34052,2933,3149,0
claude:544ad228-0234-7269-577d-2b774eec3b2f,0,12978,2730,171,15320
claude:544ad228-0234-7269-577d-2b774eec3b2f,1,15705,2826,222,103658
claude:544ad228-0234-7269-577d-2b774eec3b2f,2,17048,3252,234,68330
claude:544ad228-0234-7269-577d-2b774eec3b2f,3,20299,2019,179,53532
claude:544ad228-0234-7269-577d-2b774eec3b2f,4,20807,1865,795,0
claude:563ba208-6d78-714b-a3f4-a281a381b4c2,0,14039,3665,294,1324
claude:563ba208-6d78-714b-a3f4-a281a381b4c2,1,16084,4252,242,3552
claude:563ba208-6d78-714b-a3f4-a281a381b4c2,2,20334,520,200,1808
claude:563ba208-6d78-714b-a3f4-a281a381b4c2,3,20852,1610,107,2844
claude:563ba208-6d78-714b-a3f4-a281a381b4c2,4,22460,2477,1363,0
claude:56a77af8-2e71-7061-ae63-a21478a679ba,0,0,27006,213,433
claude:56a77af8-2e71-7061-ae63-a21478a679ba,1,27003,29052,807,67
claude:56a77af8-2e71-7061-ae63-a21478a679ba,2,56054,1115,114,36
claude:56a77af8-2e71-7061-ae63-a21478a679ba,3,57168,813,186,32
claude:56a77af8-2e71-7061-ae63-a21478a679ba,4,57980,250,484,0
claude:56b1baa4-4939-f8e0-783d-f9575b407e33,0,7957,11611,8,3
claude:56b1baa4-4939-f8e0-783d-f9575b407e33,1,8050,12673,48,4728
claude:56b1baa4-4939-f8e0-783d-f9575b407e33,2,20471,883,1154,8073
claude:56b1baa4-4939-f8e0-783d-f9575b407e33,3,21352,2213,2,9291
claude:56b1baa4-4939-f8e0-783d-f9575b407e33,4,23563,1159,1694,0
claude:56c44573-57e2-c9f1-af15-d40cba905fed,0,0,19667,154,3
claude:56c44573-57e2-c9f1-af15-d40cba905fed,1,0,20797,230,292
claude:56c44573-57e2-c9f1-af15-d40cba905fed,2,20545,803,228,3867
claude:56c44573-57e2-c9f1-af15-d40cba905fed,3,21346,605,1145,9376
claude:56c44573-57e2-c9f1-af15-d40cba905fed,4,21949,2470,3,0
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,0,12978,2876,227,23687
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,1,15851,4533,316,4679
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,2,20383,1053,310,19725
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,3,21435,1720,178,300000
claude:5d6b30ab-25b3-9e6b-859a-8a9b014a4d1c,4,12978,10387,931,0
claude:5e75ae6b-1e2c-18eb-b12a-ccaf70bf2a94,0,11435,8303,109,4594
claude:5e75ae6b-1e2c-18eb-b12a-ccaf70bf2a94,1,19736,1100,146,1458
claude:5e75ae6b-1e2c-18eb-b12a-ccaf70bf2a94,2,20834,327,300,16577
claude:5e75ae6b-1e2c-18eb-b12a-ccaf70bf2a94,3,21159,312,134,8204
claude:5e75ae6b-1e2c-18eb-b12a-ccaf70bf2a94,4,21469,600,521,0
claude:609d937a-9be8-8430-1355-d4ad9585de3d,0,14016,6826,1,0
claude:609d937a-9be8-8430-1355-d4ad9585de3d,1,18993,34107,463,0
claude:609d937a-9be8-8430-1355-d4ad9585de3d,2,52039,2046,661,80
claude:609d937a-9be8-8430-1355-d4ad9585de3d,3,54083,1048,207,26
claude:609d937a-9be8-8430-1355-d4ad9585de3d,4,55000,836,846,0
claude:60ad2a24-dec7-43f0-7b83-1bb1eb5e0da2,0,10684,10154,97,4
claude:60ad2a24-dec7-43f0-7b83-1bb1eb5e0da2,1,10777,11927,241,8249
claude:60ad2a24-dec7-43f0-7b83-1bb1eb5e0da2,2,21659,4670,4,5196
claude:60ad2a24-dec7-43f0-7b83-1bb1eb5e0da2,3,26327,3355,196,7042
claude:60ad2a24-dec7-43f0-7b83-1bb1eb5e0da2,4,29680,2691,2,0
claude:6121c332-cf17-b93b-27f9-fdda762a9b01,0,0,22840,173,6299
claude:6121c332-cf17-b93b-27f9-fdda762a9b01,1,19308,3712,78,120902
claude:6121c332-cf17-b93b-27f9-fdda762a9b01,2,23096,168,561,0
claude:6121c332-cf17-b93b-27f9-fdda762a9b01,3,23262,2999,866,277
claude:6121c332-cf17-b93b-27f9-fdda762a9b01,4,26259,4342,1017,0
claude:6135050a-db58-fa6b-0ce0-20e525347899,0,7802,15751,416,8
claude:6135050a-db58-fa6b-0ce0-20e525347899,1,7895,17913,364,6176
claude:6135050a-db58-fa6b-0ce0-20e525347899,2,24765,6590,634,5637
claude:6135050a-db58-fa6b-0ce0-20e525347899,3,31353,5500,1014,4853
claude:6135050a-db58-fa6b-0ce0-20e525347899,4,35631,6553,8316,0
claude:61a40747-3e69-fb96-20b7-f245e77da10a,0,14039,3699,319,15
claude:61a40747-3e69-fb96-20b7-f245e77da10a,1,16118,2797,383,1197
claude:61a40747-3e69-fb96-20b7-f245e77da10a,2,18913,512,264,2213
claude:61a40747-3e69-fb96-20b7-f245e77da10a,3,19423,1743,1,1797
claude:61a40747-3e69-fb96-20b7-f245e77da10a,4,21164,935,1043,0
claude:623fa1a6-2b0a-6fd9-70d8-40b1f9c21450,0,0,24974,284,0
claude:623fa1a6-2b0a-6fd9-70d8-40b1f9c21450,1,13983,32693,542,0
claude:623fa1a6-2b0a-6fd9-70d8-40b1f9c21450,2,46344,26079,1,35
claude:623fa1a6-2b0a-6fd9-70d8-40b1f9c21450,3,72292,1362,354,1
claude:623fa1a6-2b0a-6fd9-70d8-40b1f9c21450,4,73652,418,13223,0
claude:634b3102-b93a-a244-5b7f-bfe746cace0f,0,0,16814,3,0
claude:634b3102-b93a-a244-5b7f-bfe746cace0f,1,16811,1487,1,0
claude:634b3102-b93a-a244-5b7f-bfe746cace0f,2,18291,35294,4,489
claude:634b3102-b93a-a244-5b7f-bfe746cace0f,3,53578,830,2,24
claude:634b3102-b93a-a244-5b7f-bfe746cace0f,4,54403,2277,1,0
claude:636a51ff-7e8c-9f68-0266-34b280bc1f60,0,0,19896,387,0
claude:636a51ff-7e8c-9f68-0266-34b280bc1f60,1,15644,17779,136,62
claude:636a51ff-7e8c-9f68-0266-34b280bc1f60,2,33416,161,8009,0
claude:636a51ff-7e8c-9f68-0266-34b280bc1f60,3,33572,8686,147,23
claude:636a51ff-7e8c-9f68-0266-34b280bc1f60,4,42252,417,856,0
claude:639a2e40-67db-2743-c71e-1ccfed44aa35,0,14062,4435,121,28
claude:639a2e40-67db-2743-c71e-1ccfed44aa35,1,16892,4815,2103,14
claude:639a2e40-67db-2743-c71e-1ccfed44aa35,2,20689,3265,225,5696
claude:639a2e40-67db-2743-c71e-1ccfed44aa35,3,23952,428,1,90
claude:639a2e40-67db-2743-c71e-1ccfed44aa35,4,24378,2299,246,0
claude:63beb72e-283c-0dc9-b597-742178227207,0,12978,2738,235,29332
claude:63beb72e-283c-0dc9-b597-742178227207,1,15713,3685,4,4632
claude:63beb72e-283c-0dc9-b597-742178227207,2,17383,2583,175,3550
claude:63beb72e-283c-0dc9-b597-742178227207,3,19819,581,62,22061
claude:63beb72e-283c-0dc9-b597-742178227207,4,20399,1174,754,0
claude:654aa4c3-24fd-5e53-cf53-7ba104db9e9e,0,16890,8573,247,27719
claude:654aa4c3-24fd-5e53-cf53-7ba104db9e9e,1,25457,5184,319,16643
claude:654aa4c3-24fd-5e53-cf53-7ba104db9e9e,2,30640,1129,148,17182
claude:654aa4c3-24fd-5e53-cf53-7ba104db9e9e,3,31768,233,384,23508
claude:654aa4c3-24fd-5e53-cf53-7ba104db9e9e,4,31995,1207,421,0
claude:654c345e-8d39-4cab-83e5-2afc1aeed2c7,0,0,11900,93,78
claude:654c345e-8d39-4cab-83e5-2afc1aeed2c7,1,11897,216,256,0
claude:654c345e-8d39-4cab-83e5-2afc1aeed2c7,2,12108,363,255,0
claude:654c345e-8d39-4cab-83e5-2afc1aeed2c7,3,12465,363,3,0
claude:654c345e-8d39-4cab-83e5-2afc1aeed2c7,4,12822,44081,918,0
claude:66edfd84-efb7-a7f3-b501-cde406461a03,0,0,11727,249,175
claude:66edfd84-efb7-a7f3-b501-cde406461a03,1,11724,8577,3,346
claude:66edfd84-efb7-a7f3-b501-cde406461a03,2,20298,3204,168,165
claude:66edfd84-efb7-a7f3-b501-cde406461a03,3,21231,10827,255,2224
claude:66edfd84-efb7-a7f3-b501-cde406461a03,4,32051,2108,1,0
claude:67a73473-825c-7724-efd8-6ed703b7b572,0,0,19376,96,4
claude:67a73473-825c-7724-efd8-6ed703b7b572,1,0,20150,161,8303
claude:67a73473-825c-7724-efd8-6ed703b7b572,2,19898,3288,170,8235
claude:67a73473-825c-7724-efd8-6ed703b7b572,3,21635,4314,133,8203
claude:67a73473-825c-7724-efd8-6ed703b7b572,4,24723,2653,2426,0
claude:6cc4edcd-160d-036b-9ea0-44eeba039272,0,0,11302,159,0
claude:6cc4edcd-160d-036b-9ea0-44eeba039272,1,11299,1588,171,0
claude:6cc4edcd-160d-036b-9ea0-44eeba039272,2,12886,307,191,0
claude:6cc4edcd-160d-036b-9ea0-44eeba039272,3,13192,411,1759,212
claude:6cc4edcd-160d-036b-9ea0-44eeba039272,4,13602,2756,614,0
claude:6f086226-a00e-a733-a6e6-a4ffe68b763b,0,0,16121,1,0
claude:6f086226-a00e-a733-a6e6-a4ffe68b763b,1,16118,8185,231,0
claude:6f086226-a00e-a733-a6e6-a4ffe68b763b,2,24296,333,1,61
claude:6f086226-a00e-a733-a6e6-a4ffe68b763b,3,24622,1023,241,0
claude:6f086226-a00e-a733-a6e6-a4ffe68b763b,4,25640,2070,841,0
claude:6f1678b5-3fe5-7edd-cf9a-524e69bff622,0,14131,3492,296,14470
claude:6f1678b5-3fe5-7edd-cf9a-524e69bff622,1,16003,2860,398,12097
claude:6f1678b5-3fe5-7edd-cf9a-524e69bff622,2,18861,1312,352,1611
claude:6f1678b5-3fe5-7edd-cf9a-524e69bff622,3,20171,3356,235,1394
claude:6f1678b5-3fe5-7edd-cf9a-524e69bff622,4,23525,6222,1384,0
claude:6fdcd71b-0884-bc85-e6bb-1d5bd2b53bb4,0,0,15942,474,23225
claude:6fdcd71b-0884-bc85-e6bb-1d5bd2b53bb4,1,15936,14091,1168,25
claude:6fdcd71b-0884-bc85-e6bb-1d5bd2b53bb4,2,24063,8698,572,11310
claude:6fdcd71b-0884-bc85-e6bb-1d5bd2b53bb4,3,32058,14249,235,29984
claude:6fdcd71b-0884-bc85-e6bb-1d5bd2b53bb4,4,38687,11975,6372,0
claude:70fe7395-e001-322b-d827-671bb2a4c2b9,0,0,14134,120,112
claude:70fe7395-e001-322b-d827-671bb2a4c2b9,1,14131,815,168,0
claude:70fe7395-e001-322b-d827-671bb2a4c2b9,2,14940,2694,109,71
claude:70fe7395-e001-322b-d827-671bb2a4c2b9,3,17627,136,101,42
claude:70fe7395-e001-322b-d827-671bb2a4c2b9,4,17757,152,1663,0
claude:74456902-ebc9-4859-4c8f-9e70b72ce0c8,0,0,15961,577,0
claude:74456902-ebc9-4859-4c8f-9e70b72ce0c8,1,4860,12871,507,0
claude:74456902-ebc9-4859-4c8f-9e70b72ce0c8,2,17729,1526,158,6
